steps,heart_rate_avg,max_heart,min_heart,raw_intensity_avg,hour,rate
172,77.38,102,60,43.3929,10,0
431,82.15,119,58,46.4333,11,0
132,79.64,102,64,38.4364,12,0
205,76.05,95,51,34.9298,13,0
81,74.79,106,55,23.3103,14,0
441,81.12,107,52,53.25,15,0
1969,91.81,140,63,65.431,16,0
1470,96.41,117,67,112.167,17,0
2205,91.18,116,69,94.4561,18,0
1585,91.64,129,65,50.5172,19,0
15,81.59,109,65,26.3729,20,0
58,77.7,107,62,29.0175,21,0
534,106.88,130,95,108.875,8,0
1592,92.02,130,73,56.1579,9,0
95,81.75,108,54,31.2833,10,0
233,76.68,99,61,27.4746,11,0
164,78.6,108,61,30.1754,12,0
77,78.85,95,67,29.8545,13,0
74,77.19,101,61,31.0172,14,0
0,74.05,84,63,26.9821,15,0
590,78.29,104,64,40.9818,16,1
2194,88.1,114,67,64.1695,17,0
1439,82.25,111,53,49.8136,18,0
32,70.98,89,55,11.2203,19,0
100,86.32,111,59,58.5263,20,0
42,79.96,98,69,42.5439,21,0
323,96.33,117,81,98.1667,7,1
1931,90.87,136,63,54.6333,8,0
221,78.93,96,54,32.5614,9,0
312,81.43,111,62,34.7,10,0
415,79.08,103,64,38.2333,11,0
246,80.05,103,64,34.8644,12,0
209,78.42,106,59,35.8814,13,0
451,77.42,107,62,41,14,0
400,81.74,116,62,49.1579,15,0
1196,79.81,109,58,52.6724,16,0
1380,79.68,115,62,51.8947,17,0
270,80.54,110,60,46.1404,18,0
0,75.58,102,60,25.1333,19,0
446,71.68,101,60,38.2632,20,0
1657,86.38,110,59,63.0862,21,0
155,82.86,108,63,49.1628,11,0
136,89.74,116,65,64.2807,12,0
139,87.42,111,63,70.0545,13,0
505,91.33,115,74,74.5926,14,0
89,80.04,105,49,36.1071,15,0
205,78.47,100,61,49.2632,16,0
1512,90.65,127,59,55.9825,17,0
40,82.16,98,60,33.1897,18,0
505,82.14,107,64,38.3448,19,0
680,84.62,115,65,39.2241,20,0
1843,89.62,117,70,66.9107,21,0
656,93.68,116,73,96.5789,11,0
4077,98.39,116,78,94.6271,12,0
81,81.04,113,62,47.386,13,0
99,76.95,101,65,38.0536,14,0
52,76.36,95,66,26.5,15,0
36,77.75,119,57,36.9836,16,0
2281,98.39,151,64,85.0893,17,0
172,91.45,116,75,96.3793,18,0
2744,88.93,116,69,78.0517,19,0
320,85.62,110,69,72,20,0
117,84.45,114,69,50.3,21,0
33,84.36,99,70,83,12,2
4005,92.59,111,72,100.203,13,0
100,78.83,95,58,31.7,14,0
118,77.43,108,63,36.1333,15,0
89,81.93,119,64,46.0667,16,0
30,76.13,105,56,36.5,17,0
56,74.86,94,60,30.0508,18,0
89,75.22,102,61,30.2373,19,0
212,75.07,105,57,35.1186,20,0
27,77.79,103,64,27.9535,21,0
256,87.41,119,59,45.4082,9,0
113,78.98,113,60,34.0741,10,0
270,76.56,105,57,41.963,11,0
55,78.45,108,66,41.8929,12,0
234,89.5,118,57,52.0357,13,0
164,86.42,111,60,41.9153,14,1
281,81.85,109,58,37.85,15,1
134,84.97,113,58,34.8,16,1
2341,83.72,113,64,69.0167,17,0
4338,90.42,111,75,94.1186,18,0
484,80,103,62,41.7,19,1
151,82.03,112,58,32.322,20,1
163,80.33,101,64,27.8333,21,0
1210,84.73,111,50,64.8571,7,0
867,83.75,110,67,46.8246,8,0
137,79.61,122,55,23.2105,9,0
269,83.84,118,58,36.3929,10,0
182,82.97,111,58,37.5424,11,1
270,82.93,111,62,35.9833,12,1
236,82.97,112,61,38.6333,13,0
175,82.29,99,65,27.9153,14,1
198,82.77,107,55,33.9833,15,0
346,89.63,110,71,39.6102,16,0
1517,89.62,113,71,111.517,17,0
1499,93.88,117,71,99.8448,18,0
1760,87.22,111,61,58.1356,19,0
50,78.85,100,61,24.6441,20,0
13,83.67,97,74,52.3333,21,2
2253,89.98,120,60,72.7119,7,0
208,82.63,114,70,27.4167,8,0
95,79.53,111,64,26.1552,9,1
36,80.82,91,64,26.6,10,1
288,81.88,104,61,35.5424,11,0
402,82.17,97,67,43.1167,12,0
1456,86.62,107,60,77.5952,13,0
1580,81.38,102,58,55.5091,15,0
3636,89.29,113,65,89.2881,16,0
294,85.38,110,66,62.6,17,0
58,78.95,96,62,27.1379,18,0
86,78.64,109,59,28.8305,19,0
63,75.51,88,63,19.4407,20,0
71,80.6,113,59,29.52,21,0
22,74.94,96,60,29.75,7,2
60,74.79,114,62,32.8793,8,0
47,80.78,100,46,21.5424,9,0
296,78.7,110,60,39.3667,10,0
165,82.6,109,64,42.9167,11,0
104,86.19,108,66,46.9661,12,0
2469,87.52,114,65,70.9655,13,0
120,104,120,94,76,14,2
1647,83.64,119,54,57.641,15,0
1252,77.28,109,52,45.1724,16,0
158,84.09,114,63,57.8772,17,0
3146,92.83,122,69,78.1864,18,0
9,80.4,109,63,25.2069,19,0
89,84.5,116,73,28.5,20,0
1201,88.05,120,71,61.4,7,0
1036,83.56,112,53,51.3704,8,1
0,83.94,108,68,25.2885,9,1
112,78.05,106,53,25.8448,10,1
281,80.34,121,60,32.8036,11,1
88,79.92,98,63,27.7288,12,1
972,83.14,115,63,78.3721,13,0
130,90.09,104,66,59.9091,14,2
1411,85.65,111,59,49.9333,15,0
189,90.03,116,67,27.8793,16,0
2473,87.48,110,62,64.7333,17,0
2428,83.28,105,65,75.35,18,0
14,80.34,116,59,34.5593,19,1
42,81.5,97,70,32.3333,20,0
8,83.39,95,68,17.2034,21,0
4,69.08,77,53,21.3846,9,2
113,83.08,124,64,51.0333,10,0
1805,87.22,115,64,69.3667,11,0
20,77.75,107,60,35.2667,12,1
7,74.77,108,60,31.8667,13,1
0,75.93,119,53,28.0667,14,1
496,79.67,114,62,45.1333,15,1
3,80.28,102,65,25.15,16,1
0,76.38,105,61,30.7,17,1
7,75.66,102,60,29.3051,18,0
942,78.05,101,66,51.6333,19,0
19,75.5,92,62,25.9,20,0
522,75.98,101,63,39.7,21,1
10,84.29,112,64,38.2353,9,2
2218,90.23,114,68,85.0167,10,0
6141,93.08,118,71,109.95,11,0
230,81.5,97,64,34.8667,12,0
611,88.37,118,70,69.8667,13,0
468,83.28,107,66,57.2069,14,1
0,89.36,111,72,31.4746,15,1
18,84.88,103,62,38.3276,16,0
27,79.42,103,61,24.7167,17,0
459,80.86,116,65,43.3559,18,0
